state,broad_type,commodity,source_year,feature_count,area_ha
NT,Animals,pigs,2016,1,0.405055999756
NT,Animals,poultry,2015,1,0.179312005639
NT,Animals,poultry,2017,1,1.37337005138
NT,Animals,sheep,2016,1,15.7641000748
NT,Animals,spirulina,2016,1,11.0755996704
NT,Cereals,rice,2016,2,323.2550048831
NT,Cereals,rice,2022,1,186.175994873
NT,Cereals,sorghum,2009,2,260.041000366
NT,Cereals,sorghum,2010,6,149.381895780855
NT,Cereals,sorghum,2012,1,1.50778996944
NT,Cereals,sorghum,2015,357,8351.62056366352
NT,Cereals,sorghum,2016,225,15996.27951944536
NT,Cereals,sorghum,2017,20,389.56082445418497
NT,Cereals,sorghum,2018,5,313.06695032093
NT,Cereals,sorghum,2020,36,12248.2694873815
NT,Cereals,sorghum,2021,28,3403.622338054757
NT,Cereals,sorghum,2022,78,21761.72830438225
NT,Fruits,apples,2015,1,1.3828099966
NT,Fruits,bananas,2023,4,50.573240280090005
NT,Fruits,bilimbi,2015,1,0.505002975464
NT,Fruits,caimito,2015,5,20.00388559699
NT,Fruits,caimito,2016,1,0.289079010487
NT,Fruits,carambolas,2016,1,1.1181499958
NT,Fruits,citrus,2022,11,98.91508698465
NT,Fruits,citrus,2023,5,80.88211846357
NT,Fruits,curcuma,2015,1,4.08153009415
NT,Fruits,dates,2016,7,26.978430852289
NT,Fruits,dragon fruit,2015,3,0.8566979765889999
NT,Fruits,dragon fruit,2016,4,1.7586330957726999
NT,Fruits,durian,2015,1,20.6373996735
NT,Fruits,figs,2016,1,2.4505200386
NT,Fruits,grapefruit,2015,2,13.14229035378
NT,Fruits,grapefruit,2016,3,42.7229995728
NT,Fruits,grapes table,2012,10,193.72095918646
NT,Fruits,grapes table,2016,6,65.99317979818
NT,Fruits,grapes table,2017,1,0.361636012793
NT,Fruits,guavas,2015,1,0.351666986942
NT,Fruits,guavas,2016,1,0.610386013985
NT,Fruits,jackfruit,2015,36,48.3298126608114
NT,Fruits,jackfruit,2016,1,0.596569001675
NT,Fruits,lemons,2015,3,37.91177940364
NT,Fruits,lemons,2016,1,0.0716625005007
NT,Fruits,limes,2015,12,30.294319719127
NT,Fruits,limes,2016,8,10.98426026106
NT,Fruits,longans,2015,1,0.202472001314
NT,Fruits,mandarins,2016,1,0.150106996298
NT,Fruits,mangoes,2019,52,651.127174258696
NT,Fruits,mangoes,2020,36,558.28795826492
NT,Fruits,mangoes,2021,201,2757.500122666614
NT,Fruits,mangoes,2022,128,2648.861529409839
NT,Fruits,melons,2015,33,580.830071240573
NT,Fruits,melons,2016,69,949.68405343584
NT,Fruits,melons,2017,1,23.3652000427
NT,Fruits,melons,2022,5,166.23214435538
NT,Fruits,oranges,2016,1,1.62700998783
NT,Fruits,passionfruit,2015,2,3.34789088368
NT,Fruits,pawpaws,2015,2,3.6776099205
NT,Fruits,pawpaws,2016,7,6.967223048213
NT,Fruits,pineapples,2015,3,41.8034090996
NT,Fruits,plums,2016,3,1.179304003716
NT,Fruits,rambutans,2015,31,37.287087768305
NT,Fruits,rambutans,2016,5,5.172469049688
NT,Fruits,sapodilla,2015,1,0.141133993864
NT,Fruits,watermelons,2015,12,153.868005097027
NT,Fruits,watermelons,2022,6,779.4710149762
NT,Oilseeds,oil palms,2015,1,0.123795002699
NT,Other crops,alkaloid poppies,2020,4,264.32719802860004
NT,Other crops,cocoa,2015,2,0.61056099832
NT,Other crops,cotton,2022,22,2998.2514839165
NT,Other crops,sugar cane,2015,1,0.0585679002106
NT,Pasture,lucerne,2015,1,42.9828987122
NT,Pasture,lucerne,2016,2,132.04814863171998
NT,Pasture,lucerne,2021,1,136.386001587
NT,Vegetables and herbs,beans,2015,13,35.102825850251996
NT,Vegetables and herbs,beans,2016,29,32.183790028096
NT,Vegetables and herbs,bitter melons,2015,1,5.6201300621
NT,Vegetables and herbs,cabbages,2016,3,5.2970999479300005
NT,Vegetables and herbs,chillies,2015,8,13.100264698263
NT,Vegetables and herbs,chillies,2016,4,2.983831018212
NT,Vegetables and herbs,chinese cabbages,2016,1,2.17758989334
NT,Vegetables and herbs,cucumbers,2015,9,6.903486073023
NT,Vegetables and herbs,cucumbers,2016,14,11.740490004415
NT,Vegetables and herbs,cucumbers,2017,1,2.835750103
NT,Vegetables and herbs,eggplants,2015,3,2.9371730089200003
NT,Vegetables and herbs,herbs,2015,1,1.45732998848
NT,Vegetables and herbs,lemongrass,2015,1,0.0695696026087
NT,Vegetables and herbs,lemongrass,2016,1,1.16858005524
NT,Vegetables and herbs,okra,2015,15,16.488853961228
NT,Vegetables and herbs,okra,2016,52,77.6380393206817
NT,Vegetables and herbs,onions,2022,2,327.824996949
NT,Vegetables and herbs,potatoes,2016,2,14.23619985581
NT,Vegetables and herbs,pumpkins,2015,6,60.00993943212
NT,Vegetables and herbs,sweet potatoes,2016,2,2.6124639511074
NT,Vegetables and herbs,tomatoes,2015,1,0.398229986429
NT,Vegetables and herbs,tomatoes,2016,1,0.290396004915
NT,Vegetables and herbs,vegetables,2015,3,4.030653029684
NT,Vegetables and herbs,vegetables,2016,7,34.168979488281195
NT,Vegetables and herbs,zucchini,2015,2,12.54398831725
NT,Vegetables and herbs,zucchini,2016,2,2.097256004811
Qld,Animals,cattle dairy,2011,1,0.995338022709
Qld,Animals,cattle dairy,2012,272,1307.061479092
Qld,Animals,cattle dairy,2013,18,111.99462729691399
Qld,Animals,cattle dairy,2015,23,106.203346967732
Qld,Animals,cattle dairy,2017,90,530.17257475854
Qld,Animals,cattle dairy,2021,108,429.348589360828
Qld,Animals,chickens,2011,35,247.5791587828
Qld,Animals,chickens,2012,161,957.521262467075
Qld,Animals,chickens,2013,12,139.85106849675
Qld,Animals,chickens,2015,20,84.37104058265
Qld,Animals,chickens,2016,8,1354.0600789803398
Qld,Animals,chickens,2017,7,67.69982135288001
Qld,Animals,horses,2011,65,694.4476923126348
Qld,Animals,horses,2012,258,5239.359747649775
Qld,Animals,horses,2013,26,324.54026126854
Qld,Animals,horses,2015,56,559.26632654676
Qld,Animals,horses,2016,38,253.691476166241
Qld,Animals,horses,2017,70,900.207074940459
Qld,Animals,horses,2021,158,1694.737212121873
Qld,Animals,pigs,2012,128,818.29413044444
Qld,Animals,pigs,2013,25,165.92670331605984
Qld,Animals,pigs,2015,4,12.01294004917
Qld,Animals,pigs,2016,2,16.64157009125
Qld,Animals,pigs,2017,75,347.35674047472
Qld,Cereals,rice,2016,1,6.23662996292
Qld,Flowers and bulbs,turf,2011,9,314.61471295345
Qld,Flowers and bulbs,turf,2012,37,1419.87966537449
Qld,Flowers and bulbs,turf,2013,3,80.5276021958
Qld,Flowers and bulbs,turf,2015,4,88.05965042116
Qld,Flowers and bulbs,turf,2016,16,349.16437459012
Qld,Flowers and bulbs,turf,2017,12,312.96243858338
Qld,Fruits,avocados,2021,31,318.807940781086
Qld,Fruits,avocados,2022,492,6462.267420233526
Qld,Fruits,avocados,2023,335,4019.527300834289
Qld,Fruits,bananas,2021,10,49.98851060864
Qld,Fruits,bananas,2022,768,11578.030415684267
Qld,Fruits,bananas,2023,70,756.587369680053
Qld,Fruits,citrus,2021,13,84.16358983513
Qld,Fruits,citrus,2022,313,1800.779937624913
Qld,Fruits,citrus,2023,339,5942.98655796025
Qld,Fruits,grapes,2012,7,17.1897999048
Qld,Fruits,grapes,2013,29,357.62381935114
Qld,Fruits,grapes,2016,1,32.2341995239
Qld,Fruits,grapes,2017,46,1884.076829493974
Qld,Fruits,mangoes,2019,303,1880.876798987201
Qld,Fruits,mangoes,2020,358,2198.767633080282
Qld,Fruits,mangoes,2021,151,747.5862764716389
Qld,Fruits,mangoes,2022,560,3275.836314916464
Qld,Fruits,olives,2019,142,2137.392459630946
Qld,Fruits,olives,2020,62,472.136530995229
Qld,Fruits,olives,2021,66,291.728693366088
Qld,Fruits,olives,2022,14,36.61726999283
Qld,Fruits,pineapples,2021,69,1927.5837345126831
Qld,Nuts,macadamias,2022,385,10408.812295496778
Qld,Nuts,macadamias,2023,765,14261.014555217083
Qld,Other crops,cotton,2012,200,80506.94297909539
Qld,Other crops,cotton,2013,206,142205.7643728398
Qld,Other crops,cotton,2015,2,1659.0130615199998
Qld,Other crops,cotton,2016,7,3175.0710490359943
Qld,Other crops,cotton,2017,75,36949.503665335105
Qld,Other crops,sugar cane,2011,26,5879.1392173776
Qld,Other crops,sugar cane,2012,48,13539.85151529448
Qld,Other crops,sugar cane,2015,36,2316.08166599258
Qld,Other crops,sugar cane,2021,2507,509742.5385697827
Qld,Pulses,soybeans,2022,541,5602.977018192712
Qld,Pulses,soybeans,2023,715,5003.084138095238
Qld,Vegetables and herbs,truffles,2021,2,2.549076020716
SA,Animals,alpacas,2016,83,657.917579919089
SA,Animals,bees,2016,25,648.760632388122
SA,Animals,cattle,2016,731,19298.42971934628
SA,Animals,cattle dairy,2014,110,561.310070157012
SA,Animals,cattle dairy,2015,200,434.638269841702
SA,Animals,cattle dairy,2016,382,5692.332582771096
SA,Animals,cattle dairy,2018,4,10.96153998374
SA,Animals,cattle meat,2016,443,10421.950287940832
SA,Animals,cattle stud,2016,14,145.60910081862
SA,Animals,chickens,2014,1,3.77587008476
SA,Animals,chickens,2015,50,428.12694695589
SA,Animals,chickens,2016,55,266.744931906491
SA,Animals,chickens,2018,33,265.272805392768
SA,Animals,chickens eggs,2016,7,32.240509986839996
SA,Animals,chickens meat,2016,7,45.51767957211
SA,Animals,deer,2016,7,72.533814430291
SA,Animals,geese,2016,1,0.394111990929
SA,Animals,goats,2016,19,147.69674050813
SA,Animals,goats dairy,2016,1,6.86377000809
SA,Animals,horses,2014,10,304.07919836122
SA,Animals,horses,2015,40,505.27008402351197
SA,Animals,horses,2016,1532,15163.275978744648
SA,Animals,pigs,2014,5,44.37028932575
SA,Animals,pigs,2015,44,357.80240690709303
SA,Animals,pigs,2016,26,144.010201185899
SA,Animals,pigs,2018,74,616.982770621824
SA,Animals,sheep,2016,999,37089.316107344304
SA,Animals,sheep dairy,2016,1,5.97876977921
SA,Animals,sheep meat,2016,69,899.497371316089
