Year,SA2_Name,Mean_Rainfall
2011,Northampton - Mullewa - Greenough,57.81571015818844
2011,Geraldton,57.81571015818844
2011,Bridgetown - Boyup Brook,57.81571015818844
2011,Gnowangerup,57.81571015818844
2011,Katanning,57.81571015818844
2011,Kojonup,57.81571015818844
2011,Plantagenet,57.81571015818844
2011,Chittering,57.81571015818844
2011,Cunderdin,57.81571015818844
2011,Dowerin,57.81571015818844
2011,Gingin - Dandaragan,57.81571015818844
2011,Merredin,57.81571015818844
2011,Moora,57.81571015818844
2011,Mukinbudin,57.81571015818844
2011,Northam,57.81571015818844
2011,Toodyay,57.81571015818844
2011,York - Beverley,57.81571015818844
2011,Brookton,57.81571015818844
2011,Kulin,57.81571015818844
2011,Murray,57.81571015818844
2011,Narrogin,57.81571015818844
2011,Wagin,57.81571015818844
2011,Irwin,57.81571015818844
2011,Morawa,57.81571015818844
2011,Esperance Region,57.81571015818844
2011,Albany Region,57.81571015818844
2011,Naracoorte Region,57.81571015818844
2011,Alfredton,57.81571015818844
2011,Smythes Creek,57.81571015818844
2011,Wendouree - Miners Rest,57.81571015818844
2011,Bacchus Marsh Region,57.81571015818844
2011,Creswick - Clunes,57.81571015818844
2011,Gordon (Vic.),57.81571015818844
2011,Avoca,57.81571015818844
2011,Beaufort,57.81571015818844
2011,Golden Plains - North,57.81571015818844
2011,Maryborough Region,57.81571015818844
2011,Loddon,57.81571015818844
2011,Golden Plains - South,57.81571015818844
2011,Winchelsea,57.81571015818844
2011,Euroa,57.81571015818844
2011,Nagambie,57.81571015818844
2011,Rutherglen,57.81571015818844
2011,Nhill Region,57.81571015818844
2011,St Arnaud,57.81571015818844
2011,Stawell,57.81571015818844
2011,West Wimmera,57.81571015818844
2011,Yarriambiack,57.81571015818844
2011,Buloke,57.81571015818844
2011,Gannawarra,57.81571015818844
2011,Kerang,57.81571015818844
2011,Robinvale,57.81571015818844
2011,Echuca,57.81571015818844
2011,Kyabram,57.81571015818844
2011,Lockington - Gunbower,57.81571015818844
2011,Rochester,57.81571015818844
2011,Rushworth,57.81571015818844
2011,Moira,57.81571015818844
2011,Numurkah,57.81571015818844
2011,Yarrawonga,57.81571015818844
2011,Glenelg (Vic.),57.81571015818844
2011,Corangamite - North,57.81571015818844
2011,Moyne - East,57.81571015818844
2011,Moyne - West,57.81571015818844
2011,Deniliquin Region,57.81571015818844
2011,Benalla Region,57.81571015818844
2011,Wangaratta Region,57.81571015818844
2011,Shepparton Region - West,57.81571015818844
2011,Swan Hill Region,57.81571015818844
2011,Mildura Region,57.81571015818844
2011,Horsham Region,57.81571015818844
2011,Castlemaine Region,57.81571015818844
2011,Ararat Region,57.81571015818844
2011,Southern Grampians,57.81571015818844
2011,Albury - East,57.81571015818844
2011,Colac Region,57.81571015818844
2011,Bendigo Region - North,57.81571015818844
2011,Corowa Region,57.81571015818844
2011,Tocumwal - Finley - Jerilderie,57.81571015818844
2011,Scone Region,57.81571015818844
2011,Condobolin,57.81571015818844
2011,Inverell,57.81571015818844
2011,Inverell Region - East,57.81571015818844
2011,Forbes,57.81571015818844
2011,Inverell Region - West,57.81571015818844
2011,Grenfell,57.81571015818844
2011,Parkes (NSW),57.81571015818844
2011,Quirindi,57.81571015818844
2011,Parkes Region,57.81571015818844
2011,West Wyalong,57.81571015818844
2011,Leeton,57.81571015818844
2011,Narrandera,57.81571015818844
2011,Tumut Region,57.81571015818844
2011,Mudgee Region - West,57.81571015818844
