Year,SA2_Name,Mean_Rainfall
2011,Northampton - Mullewa - Greenough,33.89625486381304
2011,Geraldton,35.05303030303016
2011,Bridgetown - Boyup Brook,
2011,Gnowangerup,45.05836864406767
2011,Katanning,
2011,Kojonup,
2011,Plantagenet,
2011,Chittering,31.619117647058687
2011,Cunderdin,40.41128731343269
2011,Dowerin,28.83575078616338
2011,Gingin - Dandaragan,34.68099099099084
2011,Merredin,43.36948198198183
2011,Moora,28.078759259259105
2011,Mukinbudin,33.12159090909075
2011,Northam,36.069186046511476
2011,Toodyay,28.95877192982441
2011,York - Beverley,43.79457671957656
2011,Brookton,48.720411605937784
2011,Kulin,40.563141025640896
2011,Murray,52.27982456140337
2011,Narrogin,52.197222222222095
2011,Wagin,52.29910358565724
2011,Irwin,29.853219696969514
2011,Morawa,30.018980021030334
2011,Esperance Region,42.22037521814994
2011,Albany Region,
2011,Naracoorte Region,
2011,Alfredton,128.20833333333323
2011,Smythes Creek,126.22499999999991
2011,Wendouree - Miners Rest,
2011,Bacchus Marsh Region,102.01249999999989
2011,Creswick - Clunes,124.57121212121203
2011,Gordon (Vic.),111.21231884057958
2011,Avoca,126.39116915422873
2011,Beaufort,125.79077777777765
2011,Golden Plains - North,118.91033333333321
2011,Maryborough Region,121.51728855721382
2011,Loddon,103.2430722891565
2011,Golden Plains - South,110.30423728813545
2011,Winchelsea,104.7971491228069
2011,Euroa,213.8885021097044
2011,Nagambie,87.71987179487162
2011,Rutherglen,
2011,Nhill Region,105.11213235294106
2011,St Arnaud,119.87520161290313
2011,Stawell,121.92467105263145
2011,West Wimmera,146.0297297297296
2011,Yarriambiack,98.34160493827149
2011,Buloke,102.70337487019718
2011,Gannawarra,92.18352713178282
2011,Kerang,90.94333333333324
2011,Robinvale,
2011,Echuca,74.35833333333314
2011,Kyabram,77.44109195402281
2011,Lockington - Gunbower,79.11974358974344
2011,Rochester,75.66488095238081
2011,Rushworth,79.72558479532148
2011,Moira,341.57113095238077
2011,Numurkah,118.93981481481465
