SA2_CODE21,SA2_NAME21,STE_CODE21,SD_CODE11,SD_NAME11,SD_STATE_CODE,allocation_ratio,is_split_sa2,n_sd_overlaps
505011081,Padbury,5,505,Perth,5,1.0,False,1
505011082,Sorrento - Marmion,5,505,Perth,5,1.0,False,1
505011083,Woodvale,5,505,Perth,5,1.0,False,1
505021084,Balcatta - Hamersley,5,505,Perth,5,1.0,False,1
505021085,Balga - Mirrabooka,5,505,Perth,5,1.0,False,1
505021087,Herdsman,5,505,Perth,5,1.0,False,1
505021088,Innaloo - Doubleview,5,505,Perth,5,1.0,False,1
505021089,Karrinyup - Gwelup - Carine,5,505,Perth,5,1.0,False,1
505021090,Nollamara - Westminster,5,505,Perth,5,1.0,False,1
505021091,Osborne Park Industrial,5,505,Perth,5,1.0,False,1
505021092,Scarborough,5,505,Perth,5,1.0,False,1
505021093,Stirling - Osborne Park,5,505,Perth,5,1.0,False,1
505021094,Trigg - North Beach - Watermans Bay,5,505,Perth,5,1.0,False,1
505021095,Tuart Hill - Joondanna,5,505,Perth,5,1.0,False,1
505021096,Wembley Downs - Churchlands - Woodlands,5,505,Perth,5,1.0,False,1
505021097,Yokine - Coolbinia - Menora,5,505,Perth,5,1.0,False,1
505021301,Dianella - North,5,505,Perth,5,1.0,False,1
505021302,Dianella - South,5,505,Perth,5,1.0,False,1
505031098,Alexander Heights - Koondoola,5,505,Perth,5,1.0,False,1
505031099,Butler - Merriwa - Ridgewood,5,505,Perth,5,1.0,False,1
505031100,Carramar,5,505,Perth,5,1.0,False,1
505031101,Clarkson,5,505,Perth,5,1.0,False,1
505031102,Girrawheen,5,505,Perth,5,1.0,False,1
505031104,Marangaroo,5,505,Perth,5,1.0,False,1
505031105,Mindarie - Quinns Rocks - Jindalee,5,505,Perth,5,1.0,False,1
505031106,Neerabup National Park,5,505,Perth,5,1.0,False,1
505031107,Tapping - Ashby - Sinagra,5,505,Perth,5,1.0,False,1
505031255,Alkimos - Eglinton,5,505,Perth,5,1.0,False,1
505031256,Carabooda - Pinjar,5,505,Perth,5,0.9999999824422958,True,2
505031256,Carabooda - Pinjar,5,525,Midlands,5,1.755770420538874e-08,True,2
505031257,Two Rocks,5,505,Perth,5,0.999999987496103,True,2
505031257,Two Rocks,5,525,Midlands,5,1.2503897078288047e-08,True,2
505031258,Yanchep,5,505,Perth,5,1.0,False,1
505031303,Hocking - Pearsall,5,505,Perth,5,1.0,False,1
505031304,Landsdale,5,505,Perth,5,1.0,False,1
505031305,Madeley - Darch,5,505,Perth,5,1.0,False,1
505031306,Wanneroo - Sinagra,5,505,Perth,5,1.0,False,1
506011110,Armadale - Wungong - Brookdale,5,505,Perth,5,1.0,False,1
506011111,Ashendon - Lesley,5,505,Perth,5,0.9999999802316732,True,2
506011111,Ashendon - Lesley,5,525,Midlands,5,1.9768326773237895e-08,True,2
506011112,Camillo - Champion Lakes,5,505,Perth,5,1.0,False,1
506011114,Kelmscott,5,505,Perth,5,1.0,False,1
506011115,Mount Nasura - Mount Richon - Bedfordale,5,505,Perth,5,1.0,False,1
506011116,Roleystone,5,505,Perth,5,1.0,False,1
506011117,Seville Grove,5,505,Perth,5,1.0,False,1
506011307,Harrisdale,5,505,Perth,5,1.0,False,1
506011308,Piara Waters - Forrestdale,5,505,Perth,5,1.0,False,1
506021118,Belmont - Ascot - Redcliffe,5,505,Perth,5,1.0,False,1
506021119,East Victoria Park - Carlisle,5,505,Perth,5,1.0,False,1
506021120,Kewdale Commercial,5,505,Perth,5,1.0,False,1
506021121,Perth Airport,5,505,Perth,5,1.0,False,1
506021123,Victoria Park - Lathlain - Burswood,5,505,Perth,5,1.0,False,1
506021309,Cloverdale,5,505,Perth,5,1.0,False,1
506021310,Kewdale,5,505,Perth,5,1.0,False,1
506021311,Rivervale,5,505,Perth,5,1.0,False,1
506031124,Bentley - Wilson - St James,5,505,Perth,5,1.0,False,1
506031125,Canning Vale - West,5,505,Perth,5,1.0,False,1
506031126,Canning Vale Commercial,5,505,Perth,5,1.0,False,1
506031127,Cannington - Queens Park,5,505,Perth,5,1.0,False,1
506031128,Parkwood - Ferndale - Lynwood,5,505,Perth,5,1.0,False,1
506031129,Riverton - Shelley - Rossmoyne,5,505,Perth,5,1.0,False,1
506031130,Welshpool,5,505,Perth,5,1.0,False,1
506031131,Willetton,5,505,Perth,5,1.0,False,1
506041132,Beckenham - Kenwick - Langford,5,505,Perth,5,1.0,False,1
506041133,Canning Vale - East,5,505,Perth,5,1.0,False,1
506041134,Gosnells,5,505,Perth,5,1.0,False,1
506041135,Huntingdale - Southern River,5,505,Perth,5,1.0,False,1
506041136,Maddington - Orange Grove - Martin,5,505,Perth,5,1.0,False,1
506041137,Thornlie,5,505,Perth,5,1.0,False,1
506051138,Forrestfield - Wattle Grove,5,505,Perth,5,1.0,False,1
506051139,High Wycombe,5,505,Perth,5,1.0,False,1
506051140,Kalamunda - Maida Vale - Gooseberry Hill,5,505,Perth,5,1.0,False,1
506051141,Lesmurdie - Bickley - Carmel,5,505,Perth,5,1.0,False,1
506061142,Byford,5,505,Perth,5,1.0,False,1
506061143,Mundijong,5,505,Perth,5,1.0,False,1
506061144,Serpentine - Jarrahdale,5,505,Perth,5,0.9939000861656563,True,2
506061144,Serpentine - Jarrahdale,5,510,South West,5,0.006099913834343679,True,2
506071145,Como,5,505,Perth,5,1.0,False,1
506071146,Manning - Waterford,5,505,Perth,5,1.0,False,1
506071147,South Perth - Kensington,5,505,Perth,5,1.0,False,1
507011148,Banjup,5,505,Perth,5,1.0,False,1
507011150,Bibra Industrial,5,505,Perth,5,1.0,False,1
507011151,Bibra Lake,5,505,Perth,5,1.0,False,1
507011152,Coogee,5,505,Perth,5,1.0,False,1
507011153,Coolbellup,5,505,Perth,5,1.0,False,1
507011154,Hamilton Hill,5,505,Perth,5,1.0,False,1
507011155,Henderson,5,505,Perth,5,1.0,False,1
507011158,North Coogee,5,505,Perth,5,1.0,False,1
507011159,South Lake - Cockburn Central,5,505,Perth,5,1.0,False,1
